Date,Time,Plate_English,Plate_Arabic
2026-05-10,22:03:05,BaL567,ب و س ٥ ٦ ٧
2026-05-10,22:03:10,AZan1,ا هـ و م ١
2026-05-10,22:03:17,AZn1,ا هـ م ١
2026-05-10,22:03:21,1,١
2026-05-10,22:03:26,LBR4,س ب ع ٤
2026-05-10,22:04:28,PBE5495,ط ب ج ٥ ٤ ٩ ٥
2026-05-10,22:04:53,BRJ55,ب ع ر ٥ ٥
2026-05-10,22:07:58,55 BRJ,بعر ٥٥
2026-05-10,22:09:42,55 ERJ,جعر ٥٥
2026-05-10,22:10:15,6483 RbU,عيق ٦٤٨٣
2026-05-10,22:10:43,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:10:57,4 , ٤
2026-05-10,22:11:10,888 RWb,علي ٨٨٨
2026-05-10,22:12:19,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:12:41,888 RWb,علي ٨٨٨
2026-05-10,22:13:09,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:13:28,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:15:06,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:18:11,3945EBP,٣٩٤٥جبط
2026-05-10,22:19:58,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:21:21,3945 PBE,٣٩٤٥ ﺞﺒﻃ
2026-05-10,22:22:48,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:25:08,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,22:25:15,2 , ٢
2026-05-10,22:25:18,6483 RbU,ع ي ق ٦٤٨٣
2026-05-10,22:25:39,25948 NE,ص ج ٢٥٩٤٨
2026-05-10,22:25:53,0 , ٠
2026-05-10,22:26:02,797 L,س ٧٩٧
2026-05-10,22:26:25,7594 LE,س ج ٧٥٩٤
2026-05-10,22:26:35,2977 LL,س س ٢٩٧٧
2026-05-10,22:26:43,3594 LE,س ج ٣٥٩٤
2026-05-10,22:29:09,3945 Bn,ب م ٣٩٤٥
2026-05-10,22:29:25,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,22:32:48,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,22:32:58,594 LLP,س س ط ٥٩٤
2026-05-10,22:33:06,777 LL,س س ٧٧٧
2026-05-10,22:34:05,97 LL,س س ٩٧
2026-05-10,22:38:19,5 , ٥
2026-05-10,22:38:37,3945 PBE,طبج ٣٩٤٥
2026-05-10,22:40:02,5 , ٥
2026-05-10,22:40:52,5 , ٥
2026-05-10,22:40:57,5 , ٥
2026-05-10,22:41:19,7 L,س ٧
2026-05-10,22:41:48,595 BE,بج ٥٩٥
2026-05-10,22:43:06,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,22:43:09,61 Abn,ا ي م ٦١
2026-05-10,22:43:19,11 AZn,ا هـ م ١١
2026-05-10,22:43:26,4 , ٤
2026-05-10,22:43:30,4 LBR,س ب ع ٤
2026-05-10,22:43:55,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,22:43:58,11 AZn,ا هـ م ١١
2026-05-10,22:44:02,1 AZn,ا هـ م ١
2026-05-10,22:44:06,0 , ٠
2026-05-10,22:44:18,6483 RbU,ع ي ق ٦٤٨٣
2026-05-10,22:44:24,1 JB,ر ب ١
2026-05-10,22:48:06,6 , ٦
2026-05-10,22:50:04,155 EZ,ج هـ ١٥٥
2026-05-10,22:51:20,888 RWb,ع ل ي ٨٨٨
2026-05-10,22:52:14,66 RW,ع ل ٦٦
2026-05-10,22:54:17,6483 RbU,ع ي ق ٦٤٨٣
2026-05-10,22:54:36,1 AZn,ا هـ م ١
2026-05-10,22:56:11,5 , ٥
2026-05-10,22:56:16,1 JB,ر ب ١
2026-05-10,22:56:19,0 , ٠
2026-05-10,22:56:23,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,22:56:33,2 , ٢
2026-05-10,22:56:42,755 A,ا ٧٥٥
2026-05-10,23:06:17,61 Abn,ا ي م ٦١
2026-05-10,23:06:22,11 AZn,ا هـ م ١١
2026-05-10,23:07:52,4444 EJa,ج ر و ٤٤٤٤
2026-05-10,23:08:07,1 , ١
2026-05-10,23:08:29,77 nLJ,م س ر ٧٧
2026-05-10,23:09:01,788 AYL,ا ن س ٧٨٨
2026-05-10,23:10:20,3333 nAY,م ا ن ٣٣٣٣
2026-05-10,23:10:59,7333 BBB,ب ب ب ٧٣٣٣
2026-05-10,23:11:45,1 nNJ,م ص ر ١
2026-05-10,23:12:14,8 , ٨
2026-05-10,23:12:51,3 , ٣
2026-05-10,23:13:18,4444 EYb,ج ن ي ٤٤٤٤
2026-05-10,23:13:54,11111 DJL,ث ر س ١١١١١
2026-05-10,23:14:55,123 RRR,ع ع ع ١٢٣
